density, vertices, edges, components, max component, min component, raw average, weighted average, burn count
0.79, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.80, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.81, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.82, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.83, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.84, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.85, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.86, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.87, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.88, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.89, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.90, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.91, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.92, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.93, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.94, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.95, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.96, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.97, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.98, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.99, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
1.00, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
